GO_t term CLIN_Pr NOCLIN_Pr CLIN_Abs NOCLIN_Abs
GO 5977 45 97 0 0
GO 5978 45 97 0 0
GO 5979 45 94 0 3
GO 5981 45 95 0 2
GO 5984 45 96 0 1
GO 5985 45 96 0 1
GO 5986 45 96 0 1
GO 5991 0 1 45 96
GO 5992 0 1 45 96
GO 5996 45 97 0 0
GO 5997 0 9 45 88
GO 5998 0 9 45 88
GO 6000 45 97 0 0
GO 6001 45 97 0 0
GO 6002 45 97 0 0
GO 6006 45 97 0 0
GO 6012 45 97 0 0
GO 6014 45 97 0 0
GO 6015 44 97 1 0
GO 6020 45 96 0 1
GO 6022 45 97 0 0
GO 6023 45 97 0 0
GO 6024 45 97 0 0
GO 6026 45 97 0 0
GO 6027 45 97 0 0
GO 6029 1 0 44 97
GO 6030 37 37 8 60
GO 6031 0 2 45 95
GO 6032 37 35 8 62
GO 6037 0 2 45 95
GO 6038 0 2 45 95
GO 6040 45 97 0 0
GO 6044 39 5 6 92
GO 6046 0 2 45 95
GO 6047 45 97 0 0
GO 6048 45 97 0 0
GO 6050 0 5 45 92
GO 6051 0 5 45 92
GO 6053 0 5 45 92
GO 6054 0 5 45 92
GO 6063 0 3 45 94
GO 6064 0 1 45 96
GO 6066 45 97 0 0
GO 6067 45 97 0 0
GO 6071 45 97 0 0
GO 6072 45 97 0 0
GO 6073 45 97 0 0
GO 6081 45 97 0 0
GO 6082 45 97 0 0
GO 6083 45 97 0 0
GO 6084 45 97 0 0
GO 6085 45 97 0 0
GO 6086 45 97 0 0
GO 6089 45 97 0 0
GO 6090 45 97 0 0
GO 6091 45 97 0 0
GO 6094 45 97 0 0
GO 6096 45 97 0 0
GO 6097 45 97 0 0
GO 6098 45 97 0 0
GO 6099 45 97 0 0
GO 6101 45 97 0 0
GO 6103 45 97 0 0
GO 6105 45 97 0 0
GO 6106 3 47 42 50
GO 6107 0 1 45 96
GO 6108 45 97 0 0
GO 6109 45 97 0 0
GO 6112 45 97 0 0
GO 6113 45 97 0 0
GO 6115 44 95 1 2
GO 6116 0 1 45 96
GO 6119 45 97 0 0
GO 6120 45 97 0 0
GO 6123 1 2 44 95
GO 6124 45 95 0 2
GO 6139 45 97 0 0
GO 6140 0 6 45 91
GO 6144 45 97 0 0
GO 6145 0 10 45 87
GO 6146 0 1 45 96
GO 6148 1 34 44 63
GO 6149 1 34 44 63
GO 6150 0 7 45 90
GO 6152 45 97 0 0
GO 6154 45 73 0 24
GO 6161 1 34 44 63
GO 6163 45 97 0 0
GO 6164 45 97 0 0
GO 6165 45 97 0 0
GO 6166 45 97 0 0
GO 6167 45 94 0 3
GO 6168 45 96 0 1
GO 6171 45 94 0 3
GO 6172 43 96 2 1
GO 6177 45 97 0 0
GO 6183 44 97 1 0
GO 6188 45 97 0 0
GO 6189 45 97 0 0
GO 6195 45 97 0 0
GO 6203 45 97 0 0
GO 6206 45 97 0 0
GO 6207 45 97 0 0
GO 6208 45 96 0 1
GO 6209 0 18 45 79
GO 6212 45 94 0 3
GO 6213 45 97 0 0
GO 6216 45 96 0 1
GO 6217 45 96 0 1
GO 6218 45 97 0 0
GO 6220 45 97 0 0
GO 6221 45 97 0 0
GO 6222 45 97 0 0
GO 6226 45 96 0 1
GO 6227 45 96 0 1
GO 6231 45 36 0 61
GO 6233 45 96 0 1
GO 6235 45 96 0 1
GO 6241 45 97 0 0
GO 6244 45 97 0 0
GO 6253 45 66 0 31
GO 6259 45 97 0 0
GO 6260 45 97 0 0
GO 6261 45 97 0 0
GO 6265 45 97 0 0
GO 6266 45 97 0 0
GO 6268 45 97 0 0
GO 6269 45 96 0 1
GO 6270 45 97 0 0
GO 6271 45 97 0 0
GO 6273 45 97 0 0
GO 6274 3 3 42 94
GO 6275 45 97 0 0
GO 6276 45 97 0 0
GO 6278 0 1 45 96
GO 6281 45 97 0 0
GO 6282 45 97 0 0
GO 6283 45 97 0 0
GO 6284 45 97 0 0
GO 6285 45 97 0 0
GO 6288 45 96 0 1
GO 6289 45 97 0 0
GO 6298 45 97 0 0
GO 6301 45 97 0 0
GO 6302 45 97 0 0
GO 6304 45 97 0 0
GO 6305 45 97 0 0
GO 6306 45 97 0 0
GO 6308 45 97 0 0
GO 6310 45 97 0 0
GO 6313 16 15 29 82
GO 6323 44 97 1 0
GO 6351 45 97 0 0
GO 6352 45 97 0 0
GO 6353 45 97 0 0
GO 6354 45 97 0 0
GO 6355 45 97 0 0
GO 6357 0 1 45 96
GO 6364 45 97 0 0
