GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 4536 23 97 0 0
GO 4540 23 97 0 0
GO 4549 23 96 0 1
GO 4550 23 96 0 1
GO 4551 22 97 1 0
GO 4553 23 97 0 0
GO 4556 0 1 23 96
GO 4558 0 27 23 70
GO 4563 23 96 0 1
GO 4568 16 33 7 64
GO 4585 23 96 0 1
GO 4586 23 33 0 64
GO 4588 23 97 0 0
GO 4590 23 97 0 0
GO 4591 23 96 0 1
GO 4592 23 97 0 0
GO 4594 23 97 0 0
GO 4595 23 97 0 0
GO 4596 23 97 0 0
GO 4601 23 97 0 0
GO 4604 23 96 0 1
GO 4605 23 97 0 0
GO 4609 23 97 0 0
GO 4611 23 96 0 1
GO 4612 23 94 0 3
GO 4614 23 97 0 0
GO 4615 23 96 0 1
GO 4617 23 97 0 0
GO 4618 23 97 0 0
GO 4619 23 97 0 0
GO 4620 23 97 0 0
GO 4622 23 97 0 0
GO 4632 23 97 0 0
GO 4633 23 97 0 0
GO 4634 23 97 0 0
GO 4635 23 97 0 0
GO 4636 23 97 0 0
GO 4637 23 96 0 1
GO 4638 23 82 0 15
GO 4639 23 95 0 2
GO 4640 23 96 0 1
GO 4641 23 97 0 0
GO 4642 23 97 0 0
GO 4643 23 97 0 0
GO 4644 23 97 0 0
GO 4645 23 97 0 0
GO 4647 23 97 0 0
GO 4648 23 97 0 0
GO 4652 23 97 0 0
GO 4654 23 97 0 0
GO 4655 23 45 0 52
GO 4659 23 97 0 0
GO 4664 22 96 1 1
GO 4672 23 97 0 0
GO 4673 23 97 0 0
GO 4674 23 97 0 0
GO 4713 0 7 23 90
GO 4719 23 97 0 0
GO 4721 23 97 0 0
GO 4722 1 0 22 97
GO 4725 0 5 23 92
GO 4729 23 97 0 0
GO 4730 22 26 1 71
GO 4731 23 97 0 0
GO 4733 23 96 0 1
GO 4735 23 97 0 0
GO 4738 23 96 0 1
GO 4742 23 80 0 17
GO 4743 23 97 0 0
GO 4746 23 96 0 1
GO 4747 23 74 0 23
GO 4748 23 97 0 0
GO 4749 23 97 0 0
GO 4750 23 96 0 1
GO 4751 23 97 0 0
GO 4756 23 92 0 5
GO 4764 23 97 0 0
GO 4765 23 97 0 0
GO 4766 22 16 1 81
GO 4774 23 97 0 0
GO 4775 23 97 0 0
GO 4779 23 66 0 31
GO 4781 23 66 0 31
GO 4783 23 97 0 0
GO 4784 23 96 0 1
GO 4787 23 93 0 4
GO 4791 23 97 0 0
GO 4792 23 97 0 0
GO 4793 23 96 0 1
GO 4794 23 96 0 1
GO 4795 23 96 0 1
GO 4797 23 97 0 0
GO 4798 23 96 0 1
GO 4799 23 97 0 0
GO 4801 23 97 0 0
GO 4802 22 6 1 91
GO 4803 6 10 17 87
GO 4805 0 1 23 96
GO 4806 0 19 23 78
GO 4807 23 97 0 0
GO 4808 23 97 0 0
GO 4810 22 97 1 0
GO 4812 23 97 0 0
GO 4813 23 97 0 0
GO 4814 22 97 1 0
GO 4815 23 97 0 0
GO 4816 23 97 0 0
GO 4817 23 97 0 0
GO 4818 23 96 0 1
GO 4819 23 97 0 0
GO 4820 23 96 0 1
GO 4821 23 97 0 0
GO 4822 23 97 0 0
GO 4823 23 97 0 0
GO 4825 23 97 0 0
GO 4826 23 95 0 2
GO 4827 23 96 0 1
GO 4828 23 97 0 0
GO 4829 23 97 0 0
GO 4830 22 96 1 1
GO 4831 23 97 0 0
GO 4832 23 97 0 0
GO 4833 22 17 1 80
GO 4834 23 97 0 0
GO 4838 23 96 0 1
GO 4842 0 3 23 94
GO 4844 23 97 0 0
GO 4845 23 96 0 1
GO 4849 23 97 0 0
GO 4850 23 97 0 0
GO 4852 23 97 0 0
GO 4853 23 95 0 2
GO 4854 0 7 23 90
GO 4856 0 9 23 88
GO 4857 23 97 0 0
GO 4866 23 91 0 6
GO 4867 23 91 0 6
GO 5048 23 94 0 3
GO 5085 23 97 0 0
GO 5096 23 97 0 0
