"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"4694","GO",97159,23,22,0,0,1,NA,"NaN",NA
"4695","GO",97163,23,22,0,0,1,NA,"NaN",NA
"4696","GO",97164,23,22,0,0,1,NA,"NaN",NA
"4697","GO",97172,23,22,0,0,1,NA,"NaN",NA
"4698","GO",97190,0,0,23,22,1,NA,"NaN",NA
"4699","GO",97193,0,0,23,22,1,NA,"NaN",NA
"4700","GO",97216,23,22,0,0,1,NA,"NaN",NA
"4701","GO",97237,23,22,0,0,1,NA,"NaN",NA
"4702","GO",97264,23,22,0,0,1,NA,"NaN",NA
"4703","GO",97292,0,0,23,22,1,NA,"NaN",NA
"4704","GO",97293,0,0,23,22,1,NA,"NaN",NA
"4705","GO",97305,0,0,23,22,1,NA,"NaN",NA
"4706","GO",97306,0,0,23,22,1,NA,"NaN",NA
"4707","GO",97347,23,22,0,0,1,NA,"NaN",NA
"4708","GO",97366,23,22,0,0,1,NA,"NaN",NA
"4709","GO",97367,23,22,0,0,1,NA,"NaN",NA
"4710","GO",97428,23,22,0,0,1,NA,"NaN",NA
"4711","GO",97435,12,0,11,22,6.95e-05,-0.59,"0.000",Inf
"4712","GO",97458,1,0,22,22,1,-0.147,"0.000",Inf
"4713","GO",97501,23,22,0,0,1,NA,"NaN",NA
"4714","GO",97506,23,21,0,1,0.489,-0.154,"0.000",Inf
"4715","GO",97510,23,21,0,1,0.489,-0.154,"0.000",Inf
"4716","GO",97577,23,22,0,0,1,NA,"NaN",NA
"4717","GO",97588,23,22,0,0,1,NA,"NaN",NA
"4718","GO",97617,23,22,0,0,1,NA,"NaN",NA
"4719","GO",97638,0,0,23,22,1,NA,"NaN",NA
"4720","GO",97659,23,22,0,0,1,NA,"NaN",NA
"4721","GO",97697,21,21,2,1,1,0.083,"2.000",0.5
"4722","GO",97708,1,1,22,21,1,0.005,"1.050",0.955
"4723","GO",97718,23,22,0,0,1,NA,"NaN",NA
"4724","GO",97730,1,0,22,22,1,-0.147,"0.000",Inf
"4725","GO",97731,1,0,22,22,1,-0.147,"0.000",Inf
"4726","GO",97733,1,0,22,22,1,-0.147,"0.000",Inf
"4727","GO",97747,23,22,0,0,1,NA,"NaN",NA
"4728","GO",98015,1,1,22,21,1,0.005,"1.050",0.955
"4729","GO",98025,1,1,22,21,1,0.005,"1.050",0.955
"4730","GO",98027,0,0,23,22,1,NA,"NaN",NA
"4731","GO",98533,23,22,0,0,1,NA,"NaN",NA
"4732","GO",98542,23,22,0,0,1,NA,"NaN",NA
"4733","GO",98552,23,22,0,0,1,NA,"NaN",NA
"4734","GO",98561,23,22,0,0,1,NA,"NaN",NA
"4735","GO",98562,23,22,0,0,1,NA,"NaN",NA
"4736","GO",98567,23,22,0,0,1,NA,"NaN",NA
"4737","GO",98586,23,21,0,1,0.489,-0.154,"0.000",Inf
"4738","GO",98588,2,1,21,21,1,-0.083,"0.500",2
"4739","GO",98590,1,0,22,22,1,-0.147,"0.000",Inf
"4740","GO",98630,0,0,23,22,1,NA,"NaN",NA
"4741","GO",98655,23,22,0,0,1,NA,"NaN",NA
"4742","GO",98656,23,22,0,0,1,NA,"NaN",NA
"4743","GO",98657,0,0,23,22,1,NA,"NaN",NA
"4744","GO",98660,23,22,0,0,1,NA,"NaN",NA
"4745","GO",98661,23,22,0,0,1,NA,"NaN",NA
"4746","GO",98662,23,22,0,0,1,NA,"NaN",NA
"4747","GO",98732,23,22,0,0,1,NA,"NaN",NA
"4748","GO",98739,0,0,23,22,1,NA,"NaN",NA
